OBJETIVOS,DESCRIÇÃO,META,RESULTADO,MÊS,ANO
Produtividade da Equipe,"Monitorar a produtividade realizadas pelos funcionários, para melhorar a precisão do dimensionamento de equipes (backlog = 1)",0.5,,Janeiro,2025
Produtividade da Equipe,"Monitorar a produtividade realizadas pelos funcionários, para melhorar a precisão do dimensionamento de equipes (backlog = 1)",0.5,,Fevereiro,2025
Produtividade da Equipe,"Monitorar a produtividade realizadas pelos funcionários, para melhorar a precisão do dimensionamento de equipes (backlog = 1)",0.5,,Março,2025
Produtividade da Equipe,"Monitorar a produtividade realizadas pelos funcionários, para melhorar a precisão do dimensionamento de equipes (backlog = 1)",0.5,,Abril,2025
Produtividade da Equipe,"Monitorar a produtividade realizadas pelos funcionários, para melhorar a precisão do dimensionamento de equipes (backlog = 1)",0.5,,Maio,2025
Produtividade da Equipe,"Monitorar a produtividade realizadas pelos funcionários, para melhorar a precisão do dimensionamento de equipes (backlog = 1)",0.5,,Junho,2025
Produtividade da Equipe,"Monitorar a produtividade realizadas pelos funcionários, para melhorar a precisão do dimensionamento de equipes (backlog = 1)",0.6,,Julho,2025
Produtividade da Equipe,"Monitorar a produtividade realizadas pelos funcionários, para melhorar a precisão do dimensionamento de equipes (backlog = 1)",0.6,,Agosto,2025
Produtividade da Equipe,"Monitorar a produtividade realizadas pelos funcionários, para melhorar a precisão do dimensionamento de equipes (backlog = 1)",0.6,,Setembro,2025
Produtividade da Equipe,"Monitorar a produtividade realizadas pelos funcionários, para melhorar a precisão do dimensionamento de equipes (backlog = 1)",0.7,,Outubro,2025
Produtividade da Equipe,"Monitorar a produtividade realizadas pelos funcionários, para melhorar a precisão do dimensionamento de equipes (backlog = 1)",0.7,,Novembro,2025
Produtividade da Equipe,"Monitorar a produtividade realizadas pelos funcionários, para melhorar a precisão do dimensionamento de equipes (backlog = 1)",0.7,,Dezembro,2025
MMTC,Obter o tempo médio para encerramento de processos operacionais,até 30 dias,,Janeiro,2024
MMTC,Obter o tempo médio para encerramento de processos operacionais,até 30 dias,,Fevereiro,2024
MMTC,Obter o tempo médio para encerramento de processos operacionais,até 30 dias,,Março,2024
MMTC,Obter o tempo médio para encerramento de processos operacionais,até 30 dias,,Abril,2024
MMTC,Obter o tempo médio para encerramento de processos operacionais,até 30 dias,,Maio,2024
MMTC,Obter o tempo médio para encerramento de processos operacionais,até 30 dias,,Junho,2024
MMTC,Obter o tempo médio para encerramento de processos operacionais,até 30 dias,,Julho,2024
MMTC,Obter o tempo médio para encerramento de processos operacionais,até 30 dias,,Agosto,2024
MMTC,Obter o tempo médio para encerramento de processos operacionais,até 30 dias,,Setembro,2024
MMTC,Obter o tempo médio para encerramento de processos operacionais,até 30 dias,,Outubro,2024
MMTC,Obter o tempo médio para encerramento de processos operacionais,até 30 dias,,Novembro,2024
MMTC,Obter o tempo médio para encerramento de processos operacionais,até 30 dias,,Dezembro,2024
MMTC,Obter o tempo médio para encerramento de processos operacionais,até 30 dias,,Janeiro,2025
MMTC,Obter o tempo médio para encerramento de processos operacionais,até 30 dias,,Fevereiro,2025
MMTC,Obter o tempo médio para encerramento de processos operacionais,até 30 dias,,Março,2025
MMTC,Obter o tempo médio para encerramento de processos operacionais,até 30 dias,,Abril,2025
MMTC,Obter o tempo médio para encerramento de processos operacionais,até 30 dias,,Maio,2025
MMTC,Obter o tempo médio para encerramento de processos operacionais,até 30 dias,,Junho,2025
MMTC,Obter o tempo médio para encerramento de processos operacionais,até 30 dias,,Julho,2025
MMTC,Obter o tempo médio para encerramento de processos operacionais,até 30 dias,,Agosto,2025
MMTC,Obter o tempo médio para encerramento de processos operacionais,até 30 dias,,Setembro,2025
MMTC,Obter o tempo médio para encerramento de processos operacionais,até 30 dias,,Outubro,2025
MMTC,Obter o tempo médio para encerramento de processos operacionais,até 30 dias,,Novembro,2025
MMTC,Obter o tempo médio para encerramento de processos operacionais,até 30 dias,,Dezembro,2025
FCR,"Diminuir os gastos de mão de obra e deslocamento, executando reparos em primeiro atendimento aos chamados",10% dos chamados mensais,,Janeiro,2025
FCR,"Diminuir os gastos de mão de obra e deslocamento, executando reparos em primeiro atendimento aos chamados",10% dos chamados mensais,,Fevereiro,2025
FCR,"Diminuir os gastos de mão de obra e deslocamento, executando reparos em primeiro atendimento aos chamados",10% dos chamados mensais,,Março,2025
FCR,"Diminuir os gastos de mão de obra e deslocamento, executando reparos em primeiro atendimento aos chamados",10% dos chamados mensais,,Abril,2025
FCR,"Diminuir os gastos de mão de obra e deslocamento, executando reparos em primeiro atendimento aos chamados",10% dos chamados mensais,,Maio,2025
FCR,"Diminuir os gastos de mão de obra e deslocamento, executando reparos em primeiro atendimento aos chamados",10% dos chamados mensais,,Junho,2025
FCR,"Diminuir os gastos de mão de obra e deslocamento, executando reparos em primeiro atendimento aos chamados",10% dos chamados mensais,,Julho,2025
FCR,"Diminuir os gastos de mão de obra e deslocamento, executando reparos em primeiro atendimento aos chamados",10% dos chamados mensais,,Agosto,2025
FCR,"Diminuir os gastos de mão de obra e deslocamento, executando reparos em primeiro atendimento aos chamados",10% dos chamados mensais,,Setembro,2025
FCR,"Diminuir os gastos de mão de obra e deslocamento, executando reparos em primeiro atendimento aos chamados",10% dos chamados mensais,,Outubro,2025
FCR,"Diminuir os gastos de mão de obra e deslocamento, executando reparos em primeiro atendimento aos chamados",10% dos chamados mensais,,Novembro,2025
FCR,"Diminuir os gastos de mão de obra e deslocamento, executando reparos em primeiro atendimento aos chamados",10% dos chamados mensais,,Dezembro,2025
Curva de Mão de Obra,Monitorar a curva de gastos de mão de obra entre o previsto (conforme planejamento estratégico) X realizado,Até 100% do planejado/mês,,Janeiro,2025
Curva de Mão de Obra,Monitorar a curva de gastos de mão de obra entre o previsto (conforme planejamento estratégico) X realizado,Até 100% do planejado/mês,,Fevereiro,2025
Curva de Mão de Obra,Monitorar a curva de gastos de mão de obra entre o previsto (conforme planejamento estratégico) X realizado,Até 100% do planejado/mês,,Março,2025
Curva de Mão de Obra,Monitorar a curva de gastos de mão de obra entre o previsto (conforme planejamento estratégico) X realizado,Até 100% do planejado/mês,,Abril,2025
Curva de Mão de Obra,Monitorar a curva de gastos de mão de obra entre o previsto (conforme planejamento estratégico) X realizado,Até 100% do planejado/mês,,Maio,2025
Curva de Mão de Obra,Monitorar a curva de gastos de mão de obra entre o previsto (conforme planejamento estratégico) X realizado,Até 100% do planejado/mês,,Junho,2025
Curva de Mão de Obra,Monitorar a curva de gastos de mão de obra entre o previsto (conforme planejamento estratégico) X realizado,Até 100% do planejado/mês,,Julho,2025
Curva de Mão de Obra,Monitorar a curva de gastos de mão de obra entre o previsto (conforme planejamento estratégico) X realizado,Até 100% do planejado/mês,,Agosto,2025
Curva de Mão de Obra,Monitorar a curva de gastos de mão de obra entre o previsto (conforme planejamento estratégico) X realizado,Até 100% do planejado/mês,,Setembro,2025
Curva de Mão de Obra,Monitorar a curva de gastos de mão de obra entre o previsto (conforme planejamento estratégico) X realizado,Até 100% do planejado/mês,,Outubro,2025
Curva de Mão de Obra,Monitorar a curva de gastos de mão de obra entre o previsto (conforme planejamento estratégico) X realizado,Até 100% do planejado/mês,,Novembro,2025
Curva de Mão de Obra,Monitorar a curva de gastos de mão de obra entre o previsto (conforme planejamento estratégico) X realizado,Até 100% do planejado/mês,,Dezembro,2025
Ponto de Equilíbrio (por Obra),Monitorar a saúde financeira do pós obras dos empreendimentos,"Até 1,5% do custo de construção",,Janeiro,2025
Ponto de Equilíbrio (por Obra),Monitorar a saúde financeira do pós obras dos empreendimentos,"Até 1,5% do custo de construção",,Fevereiro,2025
Ponto de Equilíbrio (por Obra),Monitorar a saúde financeira do pós obras dos empreendimentos,"Até 1,5% do custo de construção",,Março,2025
Ponto de Equilíbrio (por Obra),Monitorar a saúde financeira do pós obras dos empreendimentos,"Até 1,5% do custo de construção",,Abril,2025
Ponto de Equilíbrio (por Obra),Monitorar a saúde financeira do pós obras dos empreendimentos,"Até 1,5% do custo de construção",,Maio,2025
Ponto de Equilíbrio (por Obra),Monitorar a saúde financeira do pós obras dos empreendimentos,"Até 1,5% do custo de construção",,Junho,2025
Ponto de Equilíbrio (por Obra),Monitorar a saúde financeira do pós obras dos empreendimentos,"Até 1,5% do custo de construção",,Julho,2025
Ponto de Equilíbrio (por Obra),Monitorar a saúde financeira do pós obras dos empreendimentos,"Até 1,5% do custo de construção",,Agosto,2025
Ponto de Equilíbrio (por Obra),Monitorar a saúde financeira do pós obras dos empreendimentos,"Até 1,5% do custo de construção",,Setembro,2025
Ponto de Equilíbrio (por Obra),Monitorar a saúde financeira do pós obras dos empreendimentos,"Até 1,5% do custo de construção",,Outubro,2025
Ponto de Equilíbrio (por Obra),Monitorar a saúde financeira do pós obras dos empreendimentos,"Até 1,5% do custo de construção",,Novembro,2025
Ponto de Equilíbrio (por Obra),Monitorar a saúde financeira do pós obras dos empreendimentos,"Até 1,5% do custo de construção",,Dezembro,2025
NPS – Net Promoter Score (Pesquisa de Satisfação),Verificar a relação entre promotores e detratores da marca,50,,Janeiro,2025
NPS – Net Promoter Score (Pesquisa de Satisfação),Verificar a relação entre promotores e detratores da marca,50,,Fevereiro,2025
NPS – Net Promoter Score (Pesquisa de Satisfação),Verificar a relação entre promotores e detratores da marca,50,,Março,2025
NPS – Net Promoter Score (Pesquisa de Satisfação),Verificar a relação entre promotores e detratores da marca,50,,Abril,2025
NPS – Net Promoter Score (Pesquisa de Satisfação),Verificar a relação entre promotores e detratores da marca,60,,Maio,2025
NPS – Net Promoter Score (Pesquisa de Satisfação),Verificar a relação entre promotores e detratores da marca,60,,Junho,2025
NPS – Net Promoter Score (Pesquisa de Satisfação),Verificar a relação entre promotores e detratores da marca,60,,Julho,2025
NPS – Net Promoter Score (Pesquisa de Satisfação),Verificar a relação entre promotores e detratores da marca,60,,Agosto,2025
NPS – Net Promoter Score (Pesquisa de Satisfação),Verificar a relação entre promotores e detratores da marca,70,,Setembro,2025
NPS – Net Promoter Score (Pesquisa de Satisfação),Verificar a relação entre promotores e detratores da marca,70,,Outubro,2025
NPS – Net Promoter Score (Pesquisa de Satisfação),Verificar a relação entre promotores e detratores da marca,70,,Novembro,2025
NPS – Net Promoter Score (Pesquisa de Satisfação),Verificar a relação entre promotores e detratores da marca,70,,Dezembro,2025
Tempo de Resposta,Monitorar o tempo de resposta ao cliente,Média de 48 horas,,Janeiro,2024
Tempo de Resposta,Monitorar o tempo de resposta ao cliente,Média de 48 horas,,Fevereiro,2024
Tempo de Resposta,Monitorar o tempo de resposta ao cliente,Média de 48 horas,,Março,2024
Tempo de Resposta,Monitorar o tempo de resposta ao cliente,Média de 48 horas,,Abril,2024
Tempo de Resposta,Monitorar o tempo de resposta ao cliente,Média de 48 horas,,Maio,2024
Tempo de Resposta,Monitorar o tempo de resposta ao cliente,Média de 48 horas,,Junho,2024
Tempo de Resposta,Monitorar o tempo de resposta ao cliente,Média de 48 horas,,Julho,2024
Tempo de Resposta,Monitorar o tempo de resposta ao cliente,Média de 48 horas,,Agosto,2024
Tempo de Resposta,Monitorar o tempo de resposta ao cliente,Média de 48 horas,,Setembro,2024
Tempo de Resposta,Monitorar o tempo de resposta ao cliente,Média de 48 horas,,Outubro,2024
Tempo de Resposta,Monitorar o tempo de resposta ao cliente,Média de 48 horas,,Novembro,2024
Tempo de Resposta,Monitorar o tempo de resposta ao cliente,Média de 48 horas,,Dezembro,2024
Tempo de Resposta,Monitorar o tempo de resposta ao cliente,Média de 48 horas,,Janeiro,2025
Tempo de Resposta,Monitorar o tempo de resposta ao cliente,Média de 48 horas,,Fevereiro,2025
Tempo de Resposta,Monitorar o tempo de resposta ao cliente,Média de 48 horas,,Março,2025
Tempo de Resposta,Monitorar o tempo de resposta ao cliente,Média de 48 horas,,Abril,2025
Tempo de Resposta,Monitorar o tempo de resposta ao cliente,Média de 48 horas,,Maio,2025
Tempo de Resposta,Monitorar o tempo de resposta ao cliente,Média de 48 horas,,Junho,2025
Tempo de Resposta,Monitorar o tempo de resposta ao cliente,Média de 48 horas,,Julho,2025
Tempo de Resposta,Monitorar o tempo de resposta ao cliente,Média de 48 horas,,Agosto,2025
Tempo de Resposta,Monitorar o tempo de resposta ao cliente,Média de 48 horas,,Setembro,2025
Tempo de Resposta,Monitorar o tempo de resposta ao cliente,Média de 48 horas,,Outubro,2025
Tempo de Resposta,Monitorar o tempo de resposta ao cliente,Média de 48 horas,,Novembro,2025
Tempo de Resposta,Monitorar o tempo de resposta ao cliente,Média de 48 horas,,Dezembro,2025
